offering_id,name,hotel_class,region_id,type,region,locality
108253,Super 8 San Antonio/ATT Center/Coliseum Area,1.5,60956,hotel,TX,San Antonio
108255,Ramada Limited Downtown,2.0,60956,hotel,TX,San Antonio
123710,Oak Hills Medical Center Hotel,2.5,60956,hotel,TX,San Antonio
108426,Days Inn Airport,2.0,60956,hotel,TX,San Antonio
239973,Motel 6 San Antonio - Ft. Sam Houston,,60956,hotel,TX,San Antonio
239967,Studio 6 San Antonio - Six Flags,,60956,hotel,TX,San Antonio
108303,Econo Lodge Inn & Suites Coliseum,2.0,60956,hotel,TX,San Antonio
239968,Studio 6 San Antonio - Medical Center,,60956,hotel,TX,San Antonio
108941,Econo Lodge East,2.0,60956,hotel,TX,San Antonio
99414,Town House Motel - Airport,,60956,hotel,TX,San Antonio
108934,HomeGate Studios & Suites San Antonio Fiesta Park,2.0,60956,hotel,TX,San Antonio
99514,Rodeway Inn at Six Flags,2.0,60956,hotel,TX,San Antonio
259218,Carefree Inn Lackland,1.5,60956,hotel,TX,San Antonio
239972,Motel 6 San Antonio - Fiesta,,60956,hotel,TX,San Antonio
483322,Rose Park Inn,1.5,60956,hotel,TX,San Antonio
550977,Econo Lodge,2.0,60956,hotel,TX,San Antonio
240487,Super 8 - Sea World / Medical Center,2.0,60956,hotel,TX,San Antonio
99452,Mid Towne Inn and Suites,,60956,hotel,TX,San Antonio
239974,Budgetel Inn & Suites,2.0,60956,hotel,TX,San Antonio
99540,Travelodge San Antonio Alamo,2.0,60956,hotel,TX,San Antonio
108158,Travelodge San Antonio Lackland,2.0,60956,hotel,TX,San Antonio
99472,La Quinta Inn San Antonio South Park,2.5,60956,hotel,TX,San Antonio
1486231,SpringHill Suites San Antonio Medical Center/Six Flags,3.0,60956,hotel,TX,San Antonio
122790,Homestead Studio Suites - San Antonio - Airport,2.0,60956,hotel,TX,San Antonio
99515,Mi Casa Inn & Suites,2.0,60956,hotel,TX,San Antonio
108931,Comfort Inn Fiesta Park Area,2.0,60956,hotel,TX,San Antonio
99446,Quality Inn & Suites Near Fort Sam Houston,3.0,60956,hotel,TX,San Antonio
99439,Hampton Inn San Antonio NW/Sea World Area,2.5,60956,hotel,TX,San Antonio
2554690,Studio 6 San Antonio - Lackland AFB,,60956,hotel,TX,San Antonio
108154,Quality Inn Downtown South,2.5,60956,hotel,TX,San Antonio
216867,Days Inn San Antonio - Interstate Highway 35 North,2.0,60956,hotel,TX,San Antonio
1209478,Motel 6 -San Antonio Downtown - Market Square,2.0,60956,hotel,TX,San Antonio
1177260,Quality Inn Medical Center,2.0,60956,hotel,TX,San Antonio
645210,Value Place San Antonio,,60956,hotel,TX,San Antonio
108831,Super 8 Motel Six Flags San Antonio,2.0,60956,hotel,TX,San Antonio
99417,La Quinta Inn San Antonio AlamoDome South,2.0,60956,hotel,TX,San Antonio
99419,Red Roof Inn San Antonio I-10 East,2.0,60956,hotel,TX,San Antonio
1014760,Hotel Mimosa Riverwalk,3.0,60956,hotel,TX,San Antonio
122791,Candlewood Suites - San Antonio NW Medical Center,2.0,60956,hotel,TX,San Antonio
1177887,Comfort Inn & Suites near the AT&T Center,2.5,60956,hotel,TX,San Antonio
1201142,Fairfield Inn & Suites San Antonio North/Stone Oak,2.5,60956,hotel,TX,San Antonio
108260,The Antonian,2.0,60956,hotel,TX,San Antonio
108574,Sleep Inn Medical Center Northwest,2.0,60956,hotel,TX,San Antonio
497952,Americas Best Value Inn - San Antonio / Lackland AFB,2.0,60956,hotel,TX,San Antonio
226014,La Quinta Inn San Antonio I-10 East,2.5,60956,hotel,TX,San Antonio
108251,Days Inn Alamo/Riverwalk,1.5,60956,hotel,TX,San Antonio
534695,Regency Inn & Suites San Antonio,2.0,60956,hotel,TX,San Antonio
73236,Days Inn San Antonio/Near Lackland AFB,2.0,60956,hotel,TX,San Antonio
99421,Courtyard San Antonio Medical Center,3.0,60956,hotel,TX,San Antonio
146138,The Fairmount,4.0,60956,hotel,TX,San Antonio
99518,Hilton San Antonio Airport,3.5,60956,hotel,TX,San Antonio
252502,Holiday Inn Express Hotel & Suites San Antonio-Downtown Market Area,2.5,60956,hotel,TX,San Antonio
239971,Motel 6 San Antonio - Alamo Dome South,,60956,hotel,TX,San Antonio
223229,Holiday Inn Express San Antonio Airport North,,60956,hotel,TX,San Antonio
569882,Holiday Inn Express SeaWorld,2.5,60956,hotel,TX,San Antonio
621644,Quality Inn & Suites Bandera Point,2.5,60956,hotel,TX,San Antonio
108444,Super 8 San Antonio,2.0,60956,hotel,TX,San Antonio
590278,Holiday Inn Express Hotel & Suites San Antonio I-10 Northwest,2.5,60956,hotel,TX,San Antonio
99451,Holiday Inn Riverwalk,3.0,60956,hotel,TX,San Antonio
99476,La Quinta Inn San Antonio I-35 N at Toepperwein,2.5,60956,hotel,TX,San Antonio
248120,Alamo Inn Motel,2.0,60956,hotel,TX,San Antonio
223689,InTown Suites San Antonio Airport,,60956,hotel,TX,San Antonio
108701,"Hawthorn Suites by Wyndham San Antonio, E Loop",2.5,60956,hotel,TX,San Antonio
99485,La Quinta Inn San Antonio I-35 N at Rittiman Rd,2.5,60956,hotel,TX,San Antonio
99504,DoubleTree Hotel San Antonio Airport,3.5,60956,hotel,TX,San Antonio
1382269,Comfort Inn Near SeaWorld,,60956,hotel,TX,San Antonio
247773,Riverwalk Plaza Hotel & Suites,3.5,60956,hotel,TX,San Antonio
508084,Comfort Inn & Suites Airport,2.5,60956,hotel,TX,San Antonio
99480,La Quinta Inn San Antonio Vance Jackson,2.5,60956,hotel,TX,San Antonio
108562,Courtyard by Marriott San Antonio Airport / North Star Mall,3.0,60956,hotel,TX,San Antonio
108522,Hill Country Inn & Suites,2.5,60956,hotel,TX,San Antonio
108339,Fairfield Inn San Antonio Downtown/Market Square,2.5,60956,hotel,TX,San Antonio
1139002,Holiday Inn Express San Antonio North,2.5,60956,hotel,TX,San Antonio
1212773,Wyndham Riverside Suites Hotel San Antonio,,60956,hotel,TX,San Antonio
2549268,MainStay Suites,2.5,60956,hotel,TX,San Antonio
108233,Residence Inn San Antonio Downtown / Market Square,3.0,60956,hotel,TX,San Antonio
217757,El Tropicano Riverwalk Hotel,3.0,60956,hotel,TX,San Antonio
108391,Comfort Suites Airport North,2.5,60956,hotel,TX,San Antonio
108922,M-Star San Antonio SeaWorld,2.0,60956,hotel,TX,San Antonio
108364,BEST WESTERN Alamo Suites,2.5,60956,hotel,TX,San Antonio
99531,The Menger Hotel,3.5,60956,hotel,TX,San Antonio
